Godot Engine v3.5.3.stable.official.6c814135b - https://godotengine.org
OpenGL ES 2.0 Renderer: Intel(R) HD Graphics 520
 
[System] Connect to HUD App from SWP App
[System] Connected to Builder!
{data:3330333164, message_type:ping}
{data:Null, message_type:apps_connected}
[System] App connected.
input_type: screen_touch, state: True
input_type: screen_touch_position, state: {x:271.499969, y:313.499969}
input_type: screen_touch_position, state: {x:263.999969, y:320.999969}
input_type: screen_touch_position, state: {x:248.999985, y:332.999969}
input_type: screen_touch_position, state: {x:239.999985, y:338.999969}
input_type: screen_touch_position, state: {x:218.999985, y:356.999969}
input_type: screen_swipe, state: left
input_type: screen_touch_position, state: {x:208.499985, y:364.499969}
input_type: screen_touch_position, state: {x:200.999985, y:370.499969}
input_type: screen_touch_position, state: {x:185.999985, y:385.499969}
input_type: screen_touch_position, state: {x:181.499985, y:389.999969}
input_type: screen_touch_position, state: {x:169.499985, y:400.499969}
input_type: screen_touch_position, state: {x:161.999985, y:407.999969}
input_type: screen_touch_position, state: {x:149.999985, y:415.499969}
input_type: screen_touch_position, state: {x:133.499985, y:419.999969}
input_type: screen_touch_position, state: {x:122.999992, y:422.999969}
input_type: screen_touch_position, state: {x:121.499992, y:422.999969}
input_type: screen_touch_position, state: {x:112.499992, y:422.999969}
input_type: screen_touch_position, state: {x:104.999992, y:419.999969}
input_type: screen_touch_position, state: {x:97.499992, y:416.999969}
input_type: screen_touch_position, state: {x:83.999992, y:409.499969}
input_type: screen_touch_position, state: {x:77.999992, y:401.999969}
input_type: screen_touch_position, state: {x:70.499992, y:392.999969}
input_type: screen_touch_position, state: {x:58.499996, y:376.499969}
input_type: screen_touch_position, state: {x:52.499996, y:365.999969}
input_type: screen_touch_position, state: {x:46.499996, y:355.499969}
input_type: screen_touch_position, state: {x:43.499996, y:346.499969}
input_type: screen_touch_position, state: {x:40.499996, y:337.499969}
input_type: screen_touch_position, state: {x:38.999996, y:335.999969}
input_type: screen_touch_position, state: {x:38.999996, y:316.499969}
input_type: screen_touch_position, state: {x:40.499996, y:302.999969}
input_type: screen_touch_position, state: {x:50.999996, y:278.999969}
input_type: screen_swipe, state: up
input_type: screen_touch_position, state: {x:59.999996, y:268.499969}
input_type: screen_touch_position, state: {x:68.999992, y:257.999969}
input_type: screen_touch_position, state: {x:85.499992, y:244.499985}
input_type: screen_touch_position, state: {x:100.499992, y:236.999985}
input_type: screen_touch_position, state: {x:112.499992, y:229.499985}
input_type: screen_touch_position, state: {x:128.999985, y:223.499985}
input_type: screen_touch_position, state: {x:146.999985, y:218.999985}
input_type: screen_touch_position, state: {x:161.999985, y:215.999985}
input_type: screen_touch_position, state: {x:175.499985, y:212.999985}
input_type: screen_touch_position, state: {x:184.499985, y:212.999985}
input_type: screen_touch_position, state: {x:194.999985, y:212.999985}
input_type: screen_touch_position, state: {x:202.499985, y:212.999985}
input_type: screen_touch_position, state: {x:203.999985, y:214.499985}
input_type: screen_touch_position, state: {x:206.999985, y:215.999985}
input_type: screen_touch_position, state: {x:211.499985, y:223.499985}
input_type: screen_touch_position, state: {x:214.499985, y:232.499985}
input_type: screen_touch_position, state: {x:217.499985, y:244.499985}
input_type: screen_touch_position, state: {x:220.499985, y:254.999985}
input_type: screen_touch_position, state: {x:223.499985, y:268.499969}
input_type: screen_touch_position, state: {x:232.499985, y:295.499969}
input_type: screen_swipe, state: down
input_type: screen_touch_position, state: {x:236.999985, y:308.999969}
input_type: screen_touch_position, state: {x:242.999985, y:323.999969}
input_type: screen_touch_position, state: {x:247.499985, y:335.999969}
input_type: screen_touch_position, state: {x:250.499985, y:346.499969}
input_type: screen_touch_position, state: {x:251.999985, y:356.999969}
input_type: screen_touch_position, state: {x:256.499969, y:379.499969}
input_type: screen_swipe, state: down
input_type: screen_touch_position, state: {x:259.499969, y:392.999969}
input_type: screen_touch_position, state: {x:260.999969, y:397.499969}
input_type: screen_touch_position, state: {x:260.999969, y:401.999969}
input_type: screen_touch_position, state: {x:263.999969, y:410.999969}
input_type: screen_touch_position, state: {x:265.499969, y:415.499969}
input_type: screen_touch_position, state: {x:265.499969, y:418.499969}
input_type: screen_touch_position, state: {x:266.999969, y:421.499969}
input_type: screen_touch_position, state: {x:266.999969, y:422.999969}
input_type: screen_touch_position, state: {x:263.999969, y:422.999969}
input_type: screen_touch_position, state: {x:262.499969, y:422.999969}
input_type: screen_touch_position, state: {x:256.499969, y:422.999969}
input_type: screen_touch_position, state: {x:250.499985, y:422.999969}
input_type: screen_touch_position, state: {x:242.999985, y:422.999969}
input_type: screen_touch_position, state: {x:217.499985, y:430.499969}
input_type: screen_swipe, state: left
input_type: screen_touch_position, state: {x:203.999985, y:431.999969}
input_type: screen_touch_position, state: {x:182.999985, y:436.499969}
input_type: screen_swipe, state: left
input_type: screen_touch_position, state: {x:179.999985, y:436.499969}
input_type: screen_touch_position, state: {x:175.499985, y:436.499969}
input_type: screen_touch_position, state: {x:169.499985, y:436.499969}
input_type: screen_touch_position, state: {x:160.499985, y:436.499969}
input_type: screen_touch_position, state: {x:152.999985, y:434.999969}
input_type: screen_touch_position, state: {x:145.499985, y:434.999969}
input_type: screen_touch_position, state: {x:140.999985, y:433.499969}
input_type: screen_touch_position, state: {x:136.499985, y:430.499969}
input_type: screen_touch_position, state: {x:133.499985, y:428.999969}
input_type: screen_touch_position, state: {x:127.499992, y:425.999969}
input_type: screen_touch_position, state: {x:125.999992, y:422.999969}
input_type: screen_touch_position, state: {x:124.499992, y:418.499969}
input_type: screen_touch_position, state: {x:122.999992, y:412.499969}
input_type: screen_touch_position, state: {x:122.999992, y:406.499969}
input_type: screen_touch_position, state: {x:122.999992, y:403.499969}
input_type: screen_touch_position, state: {x:122.999992, y:392.999969}
input_type: screen_touch_position, state: {x:122.999992, y:388.499969}
input_type: screen_touch_position, state: {x:124.499992, y:370.499969}
input_type: screen_touch_position, state: {x:125.999992, y:359.999969}
input_type: screen_touch_position, state: {x:127.499992, y:349.499969}
input_type: screen_touch_position, state: {x:128.999985, y:338.999969}
input_type: screen_touch_position, state: {x:131.999985, y:326.999969}
input_type: screen_touch_position, state: {x:136.499985, y:316.499969}
input_type: screen_touch_position, state: {x:139.499985, y:305.999969}
input_type: screen_touch_position, state: {x:143.999985, y:292.499969}
input_type: screen_touch_position, state: {x:148.499985, y:283.499969}
input_type: screen_touch_position, state: {x:152.999985, y:278.999969}
input_type: screen_touch_position, state: {x:158.999985, y:274.499969}
input_type: screen_touch_position, state: {x:163.499985, y:269.999969}
input_type: screen_touch_position, state: {x:167.999985, y:268.499969}
input_type: screen_touch, state: False
input_type: screen_touch, state: True
input_type: screen_touch, state: False
input_type: screen_touch, state: True
input_type: screen_touch_position, state: {x:1193.999878, y:301.499969}
input_type: screen_touch_position, state: {x:1193.999878, y:299.999969}
input_type: screen_touch_position, state: {x:1192.499878, y:293.999969}
input_type: screen_touch_position, state: {x:1192.499878, y:289.499969}
input_type: screen_touch_position, state: {x:1192.499878, y:283.499969}
input_type: screen_touch_position, state: {x:1192.499878, y:281.999969}
input_type: screen_touch_position, state: {x:1192.499878, y:278.999969}
input_type: screen_touch_position, state: {x:1192.499878, y:272.999969}
input_type: screen_touch_position, state: {x:1192.499878, y:269.999969}
input_type: screen_touch_position, state: {x:1192.499878, y:265.499969}
input_type: screen_touch_position, state: {x:1192.499878, y:262.499969}
input_type: screen_touch_position, state: {x:1192.499878, y:260.999969}
input_type: screen_touch_position, state: {x:1192.499878, y:259.499969}
input_type: screen_touch_position, state: {x:1192.499878, y:257.999969}
input_type: screen_touch_position, state: {x:1192.499878, y:253.499985}
input_type: screen_touch, state: False
input_type: screen_touch, state: True
input_type: screen_touch, state: False
{data:0, message_type:server_state}
